input_index,swizzled_index
0,0
1,2
2,16
3,18
4,512
5,514
6,528
7,530
8,1024
9,1026
10,1040
11,1042
12,1536
13,1538
14,1552
15,1554
16,2048
17,2050
18,2064
19,2066
20,2560
21,2562
22,2576
23,2578
24,3072
25,3074
26,3088
27,3090
28,3584
29,3586
30,3600
31,3602
32,4096
33,4098
34,4112
35,4114
36,4608
37,4610
38,4624
39,4626
40,5120
41,5122
42,5136
43,5138
44,5632
45,5634
46,5648
47,5650
48,6144
49,6146
50,6160
51,6162
52,6656
53,6658
54,6672
55,6674
56,7168
57,7170
58,7184
59,7186
60,7680
61,7682
62,7696
63,7698
64,8192
65,8194
66,8208
67,8210
68,8704
69,8706
70,8720
71,8722
72,9216
73,9218
74,9232
75,9234
76,9728
77,9730
78,9744
79,9746
80,10240
81,10242
82,10256
83,10258
84,10752
85,10754
86,10768
87,10770
88,11264
89,11266
90,11280
91,11282
92,11776
93,11778
94,11792
95,11794
96,12288
97,12290
98,12304
99,12306
100,12800
101,12802
102,12816
103,12818
104,13312
105,13314
106,13328
107,13330
108,13824
109,13826
110,13840
111,13842
112,14336
113,14338
114,14352
115,14354
116,14848
117,14850
118,14864
119,14866
120,15360
121,15362
122,15376
123,15378
124,15872
125,15874
126,15888
127,15890
128,1
129,3
130,17
131,19
132,513
133,515
134,529
135,531
136,1025
137,1027
138,1041
139,1043
140,1537
141,1539
142,1553
143,1555
144,2049
145,2051
146,2065
147,2067
148,2561
149,2563
150,2577
151,2579
152,3073
153,3075
154,3089
155,3091
156,3585
157,3587
158,3601
159,3603
160,4097
161,4099
162,4113
163,4115
164,4609
165,4611
166,4625
167,4627
168,5121
169,5123
170,5137
171,5139
172,5633
173,5635
174,5649
175,5651
176,6145
177,6147
178,6161
179,6163
180,6657
181,6659
182,6673
183,6675
184,7169
185,7171
186,7185
187,7187
188,7681
189,7683
190,7697
191,7699
192,8193
193,8195
194,8209
195,8211
196,8705
197,8707
198,8721
199,8723
200,9217
201,9219
202,9233
203,9235
204,9729
205,9731
206,9745
207,9747
208,10241
209,10243
210,10257
211,10259
212,10753
213,10755
214,10769
215,10771
216,11265
217,11267
218,11281
219,11283
220,11777
221,11779
222,11793
223,11795
224,12289
225,12291
226,12305
227,12307
228,12801
229,12803
230,12817
231,12819
232,13313
233,13315
234,13329
235,13331
236,13825
237,13827
238,13841
239,13843
240,14337
241,14339
242,14353
243,14355
244,14849
245,14851
246,14865
247,14867
248,15361
249,15363
250,15377
251,15379
252,15873
253,15875
254,15889
255,15891
256,4
257,6
258,20
259,22
260,516
261,518
262,532
263,534
264,1028
265,1030
266,1044
267,1046
268,1540
269,1542
270,1556
271,1558
272,2052
273,2054
274,2068
275,2070
276,2564
277,2566
278,2580
279,2582
280,3076
281,3078
282,3092
283,3094
284,3588
285,3590
286,3604
287,3606
288,4100
289,4102
290,4116
291,4118
292,4612
293,4614
294,4628
295,4630
296,5124
297,5126
298,5140
299,5142
300,5636
301,5638
302,5652
303,5654
304,6148
305,6150
306,6164
307,6166
308,6660
309,6662
310,6676
311,6678
312,7172
313,7174
314,7188
315,7190
316,7684
317,7686
318,7700
319,7702
320,8196
321,8198
322,8212
323,8214
324,8708
325,8710
326,8724
327,8726
328,9220
329,9222
330,9236
331,9238
332,9732
333,9734
334,9748
335,9750
336,10244
337,10246
338,10260
339,10262
340,10756
341,10758
342,10772
343,10774
344,11268
345,11270
346,11284
347,11286
348,11780
349,11782
350,11796
351,11798
352,12292
353,12294
354,12308
355,12310
356,12804
357,12806
358,12820
359,12822
360,13316
361,13318
362,13332
363,13334
364,13828
365,13830
366,13844
367,13846
368,14340
369,14342
370,14356
371,14358
372,14852
373,14854
374,14868
375,14870
376,15364
377,15366
378,15380
379,15382
380,15876
381,15878
382,15892
383,15894
384,5
385,7
386,21
387,23
388,517
389,519
390,533
391,535
392,1029
393,1031
394,1045
395,1047
396,1541
397,1543
398,1557
399,1559
400,2053
401,2055
402,2069
403,2071
404,2565
405,2567
406,2581
407,2583
408,3077
409,3079
410,3093
411,3095
412,3589
413,3591
414,3605
415,3607
416,4101
417,4103
418,4117
419,4119
420,4613
421,4615
422,4629
423,4631
424,5125
425,5127
426,5141
427,5143
428,5637
429,5639
430,5653
431,5655
432,6149
433,6151
434,6165
435,6167
436,6661
437,6663
438,6677
439,6679
440,7173
441,7175
442,7189
443,7191
444,7685
445,7687
446,7701
447,7703
448,8197
449,8199
450,8213
451,8215
452,8709
453,8711
454,8725
455,8727
456,9221
457,9223
458,9237
459,9239
460,9733
461,9735
462,9749
463,9751
464,10245
465,10247
466,10261
467,10263
468,10757
469,10759
470,10773
471,10775
472,11269
473,11271
474,11285
475,11287
476,11781
477,11783
478,11797
479,11799
480,12293
481,12295
482,12309
483,12311
484,12805
485,12807
486,12821
487,12823
488,13317
489,13319
490,13333
491,13335
492,13829
493,13831
494,13845
495,13847
496,14341
497,14343
498,14357
499,14359
500,14853
501,14855
502,14869
503,14871
504,15365
505,15367
506,15381
507,15383
508,15877
509,15879
510,15893
511,15895
512,8
513,10
514,24
515,26
516,520
517,522
518,536
519,538
520,1032
521,1034
522,1048
523,1050
524,1544
525,1546
526,1560
527,1562
528,2056
529,2058
530,2072
531,2074
532,2568
533,2570
534,2584
535,2586
536,3080
537,3082
538,3096
539,3098
540,3592
541,3594
542,3608
543,3610
544,4104
545,4106
546,4120
547,4122
548,4616
549,4618
550,4632
551,4634
552,5128
553,5130
554,5144
555,5146
556,5640
557,5642
558,5656
559,5658
560,6152
561,6154
562,6168
563,6170
564,6664
565,6666
566,6680
567,6682
568,7176
569,7178
570,7192
571,7194
572,7688
573,7690
574,7704
575,7706
576,8200
577,8202
578,8216
579,8218
580,8712
581,8714
582,8728
583,8730
584,9224
585,9226
586,9240
587,9242
588,9736
589,9738
590,9752
591,9754
592,10248
593,10250
594,10264
595,10266
596,10760
597,10762
598,10776
599,10778
600,11272
601,11274
602,11288
603,11290
604,11784
605,11786
606,11800
607,11802
608,12296
609,12298
610,12312
611,12314
612,12808
613,12810
614,12824
615,12826
616,13320
617,13322
618,13336
619,13338
620,13832
621,13834
622,13848
623,13850
624,14344
625,14346
626,14360
627,14362
628,14856
629,14858
630,14872
631,14874
632,15368
633,15370
634,15384
635,15386
636,15880
637,15882
638,15896
639,15898
640,9
641,11
642,25
643,27
644,521
645,523
646,537
647,539
648,1033
649,1035
650,1049
651,1051
652,1545
653,1547
654,1561
655,1563
656,2057
657,2059
658,2073
659,2075
660,2569
661,2571
662,2585
663,2587
664,3081
665,3083
666,3097
667,3099
668,3593
669,3595
670,3609
671,3611
672,4105
673,4107
674,4121
675,4123
676,4617
677,4619
678,4633
679,4635
680,5129
681,5131
682,5145
683,5147
684,5641
685,5643
686,5657
687,5659
688,6153
689,6155
690,6169
691,6171
692,6665
693,6667
694,6681
695,6683
696,7177
697,7179
698,7193
699,7195
700,7689
701,7691
702,7705
703,7707
704,8201
705,8203
706,8217
707,8219
708,8713
709,8715
710,8729
711,8731
712,9225
713,9227
714,9241
715,9243
716,9737
717,9739
718,9753
719,9755
720,10249
721,10251
722,10265
723,10267
724,10761
725,10763
726,10777
727,10779
728,11273
729,11275
730,11289
731,11291
732,11785
733,11787
734,11801
735,11803
736,12297
737,12299
738,12313
739,12315
740,12809
741,12811
742,12825
743,12827
744,13321
745,13323
746,13337
747,13339
748,13833
749,13835
750,13849
751,13851
752,14345
753,14347
754,14361
755,14363
756,14857
757,14859
758,14873
759,14875
760,15369
761,15371
762,15385
763,15387
764,15881
765,15883
766,15897
767,15899
768,12
769,14
770,28
771,30
772,524
773,526
774,540
775,542
776,1036
777,1038
778,1052
779,1054
780,1548
781,1550
782,1564
783,1566
784,2060
785,2062
786,2076
787,2078
788,2572
789,2574
790,2588
791,2590
792,3084
793,3086
794,3100
795,3102
796,3596
797,3598
798,3612
799,3614
800,4108
801,4110
802,4124
803,4126
804,4620
805,4622
806,4636
807,4638
808,5132
809,5134
810,5148
811,5150
812,5644
813,5646
814,5660
815,5662
816,6156
817,6158
818,6172
819,6174
820,6668
821,6670
822,6684
823,6686
824,7180
825,7182
826,7196
827,7198
828,7692
829,7694
830,7708
831,7710
832,8204
833,8206
834,8220
835,8222
836,8716
837,8718
838,8732
839,8734
840,9228
841,9230
842,9244
843,9246
844,9740
845,9742
846,9756
847,9758
848,10252
849,10254
850,10268
851,10270
852,10764
853,10766
854,10780
855,10782
856,11276
857,11278
858,11292
859,11294
860,11788
861,11790
862,11804
863,11806
864,12300
865,12302
866,12316
867,12318
868,12812
869,12814
870,12828
871,12830
872,13324
873,13326
874,13340
875,13342
876,13836
877,13838
878,13852
879,13854
880,14348
881,14350
882,14364
883,14366
884,14860
885,14862
886,14876
887,14878
888,15372
889,15374
890,15388
891,15390
892,15884
893,15886
894,15900
895,15902
896,13
897,15
898,29
899,31
900,525
901,527
902,541
903,543
904,1037
905,1039
906,1053
907,1055
908,1549
909,1551
910,1565
911,1567
912,2061
913,2063
914,2077
915,2079
916,2573
917,2575
918,2589
919,2591
920,3085
921,3087
922,3101
923,3103
924,3597
925,3599
926,3613
927,3615
928,4109
929,4111
930,4125
931,4127
932,4621
933,4623
934,4637
935,4639
936,5133
937,5135
938,5149
939,5151
940,5645
941,5647
942,5661
943,5663
944,6157
945,6159
946,6173
947,6175
948,6669
949,6671
950,6685
951,6687
952,7181
953,7183
954,7197
955,7199
956,7693
957,7695
958,7709
959,7711
960,8205
961,8207
962,8221
963,8223
964,8717
965,8719
966,8733
967,8735
968,9229
969,9231
970,9245
971,9247
972,9741
973,9743
974,9757
975,9759
976,10253
977,10255
978,10269
979,10271
980,10765
981,10767
982,10781
983,10783
984,11277
985,11279
986,11293
987,11295
988,11789
989,11791
990,11805
991,11807
992,12301
993,12303
994,12317
995,12319
996,12813
997,12815
998,12829
999,12831
1000,13325
1001,13327
1002,13341
1003,13343
1004,13837
1005,13839
1006,13853
1007,13855
1008,14349
1009,14351
1010,14365
1011,14367
1012,14861
1013,14863
1014,14877
1015,14879
1016,15373
1017,15375
1018,15389
1019,15391
1020,15885
1021,15887
1022,15901
1023,15903
1024,32
1025,34
1026,48
1027,50
1028,544
1029,546
1030,560
1031,562
1032,1056
1033,1058
1034,1072
1035,1074
1036,1568
1037,1570
1038,1584
1039,1586
